,name,salary_from,salary_to,salary_currency,area_name,published_at
226,Механик по эксплуатации климатического оборудования,39300.0,39300.0,RUR,Красноярск,2022-12-26T05:28:18+0300
227,Помощник системного администратора,28500.0,32000.0,RUR,Находка,2022-12-26T05:51:29+0300
228,Дизайнер корпусной мебели,50000.0,,RUR,Кемерово,2022-12-26T05:56:42+0300
229,Токарь-универсал,50000.0,60000.0,RUR,Челябинск,2022-12-26T05:53:19+0300
230,Backend разработчик (PHP),100000.0,,RUR,Новосибирск,2022-12-26T05:33:28+0300
231,Наладчик оборудования с ЧПУ,40000.0,58000.0,RUR,Барнаул,2022-12-26T05:26:10+0300
232,Монтажник систем видеонаблюдения (ул.Алексеева),40000.0,,RUR,Красноярск,2022-12-26T05:40:26+0300
233,Токарь,29000.0,,RUR,Красноярск,2022-12-26T05:52:10+0300
234,PHP-разработчик / PHP developer,,,,Новосибирск,2022-12-26T05:20:02+0300
235,Ведущий инженер-программист,80000.0,120000.0,RUR,Барнаул,2022-12-26T05:26:05+0300
236,1С Разработчик (remote),140000.0,200000.0,RUR,Новосибирск,2022-12-26T05:02:52+0300
237,Технический специалист,30000.0,,RUR,Красноярск,2022-12-26T05:40:52+0300
238,"Сервис-менеджер, г. Бийск",25000.0,30000.0,RUR,Бийск,2022-12-26T05:16:18+0300
239,Senior Java developer,250000.0,,RUR,Новосибирск,2022-12-26T05:33:20+0300
240,Системный администратор (Академгородок),,,,Новосибирск,2022-12-26T05:20:02+0300
241,Middle Frontend developer (Vue.js/Nuxt),126000.0,193000.0,RUR,Новосибирск,2022-12-26T05:22:33+0300
242,Менеджер по работе с клиентами - Дизайнер мебели,60000.0,,RUR,Новосибирск,2022-12-26T05:45:14+0300
243,Наладчик ОПС/техник ОПС,,,,Новосибирск,2022-12-26T05:23:55+0300
244,Бизнес-аналитик,,,,Новосибирск,2022-12-26T05:20:02+0300
245,"Сервис-менеджер, г. Рубцовск",28000.0,28000.0,RUR,Рубцовск,2022-12-26T05:16:08+0300
246,Специалист техподдержки 1С,50000.0,70000.0,RUR,Владивосток,2022-12-26T05:10:32+0300
247,Программист 1С (УДАЛЕННО),60000.0,,RUR,Томск,2022-12-26T05:05:54+0300
248,Продакт-менеджер,44000.0,,RUR,Томск,2022-12-26T05:56:56+0300
249,Технический специалист домофонии(без опыта),35000.0,,RUR,Красноярск,2022-12-26T05:41:40+0300
250,Автор по информационной безопасности,,50000.0,RUR,Санкт-Петербург,2022-12-26T05:31:43+0300
251,Плавильщик металла и сплавов,41500.0,,RUR,Новоалтайск,2022-12-26T05:16:05+0300
252,Сетевой инженер и администратор серверного оборудования,,,,Москва,2022-12-26T05:56:11+0300
253,Токарь на плавочно-расточной станок,55000.0,,RUR,Белово,2022-12-26T05:27:55+0300
254,Actuary,,,,Алматы,2022-12-26T05:11:01+0300
255,Специалист по эксплуатации радиоподсистемы,30000.0,,RUR,Березники,2022-12-26T05:34:26+0300
256,Автор по информационной безопасности,,50000.0,RUR,Казань,2022-12-26T05:31:44+0300
257,Руководитель проекта 1С ERP,,,,Новосибирск,2022-12-26T05:39:43+0300
258,Специалист по информационной безопасности,,,,Новосибирск,2022-12-26T05:38:52+0300
259,Дизайнер мебели,,,,Новосибирск,2022-12-26T05:45:30+0300
260,Senior Frontend developer (Vue.js/Nuxt),194000.0,280000.0,RUR,Новосибирск,2022-12-26T05:22:33+0300
261,Erlang разработчик,,,,Москва,2022-12-26T05:41:02+0300
262,Сетевой инженер и администратор серверного оборудования,,,,Волгоград,2022-12-26T05:56:11+0300
263,Ведущий специалист (Бизнес-аналитик в ИТ сфере),50000.0,,RUR,Екатеринбург,2022-12-26T05:10:57+0300
264,Токарь,50000.0,,RUR,Новосибирск,2022-12-26T05:01:36+0300
